reportDate;country_name_german;cases;deaths;countryCode;population_number;population_density
24-01-2020;Niederlande;0;0;;;
25-01-2020;Niederlande;0;0;;;
26-01-2020;Niederlande;0;0;;;
27-01-2020;Niederlande;0;0;;;
28-01-2020;Niederlande;0;0;;;
29-01-2020;Niederlande;0;0;;;
30-01-2020;Niederlande;0;0;;;
31-01-2020;Niederlande;0;0;;;
01-02-2020;Niederlande;0;0;;;
02-02-2020;Niederlande;0;0;;;
03-02-2020;Niederlande;0;0;;;
04-02-2020;Niederlande;0;0;;;
05-02-2020;Niederlande;0;0;;;
06-02-2020;Niederlande;0;0;;;
07-02-2020;Niederlande;0;0;;;
08-02-2020;Niederlande;0;0;;;
09-02-2020;Niederlande;0;0;;;
10-02-2020;Niederlande;0;0;;;
11-02-2020;Niederlande;0;0;;;
12-02-2020;Niederlande;0;0;;;
13-02-2020;Niederlande;0;0;;;
14-02-2020;Niederlande;0;0;;;
15-02-2020;Niederlande;0;0;;;
16-02-2020;Niederlande;0;0;;;
17-02-2020;Niederlande;0;0;;;
18-02-2020;Niederlande;0;0;;;
19-02-2020;Niederlande;0;0;;;
20-02-2020;Niederlande;0;0;;;
21-02-2020;Niederlande;0;0;;;
22-02-2020;Niederlande;0;0;;;
23-02-2020;Niederlande;0;0;;;
24-02-2020;Niederlande;0;0;;;
25-02-2020;Niederlande;0;0;;;
26-02-2020;Niederlande;0;0;;;
27-02-2020;Niederlande;1;0;;;
28-02-2020;Niederlande;1;0;;;
29-02-2020;Niederlande;6;0;;;
01-03-2020;Niederlande;10;0;;;
02-03-2020;Niederlande;18;0;;;
03-03-2020;Niederlande;24;0;;;
04-03-2020;Niederlande;38;0;;;
05-03-2020;Niederlande;82;0;;;
06-03-2020;Niederlande;128;1;;;
07-03-2020;Niederlande;188;1;;;
08-03-2020;Niederlande;265;3;;;
09-03-2020;Niederlande;321;3;;;
10-03-2020;Niederlande;382;4;;;
11-03-2020;Niederlande;503;5;;;
12-03-2020;Niederlande;503;5;;;
13-03-2020;Niederlande;806;10;;;
14-03-2020;Niederlande;962;12;;;
15-03-2020;Niederlande;1138;20;;;
16-03-2020;Niederlande;1416;24;;;
17-03-2020;Niederlande;1711;43;;;
18-03-2020;Niederlande;2058;58;;;
19-03-2020;Niederlande;2467;77;;;
20-03-2020;Niederlande;3003;107;;;
21-03-2020;Niederlande;3640;137;;;
22-03-2020;Niederlande;4217;180;;;
23-03-2020;Niederlande;4764;214;;;
24-03-2020;Niederlande;5580;277;;;
25-03-2020;Niederlande;6438;357;;;
26-03-2020;Niederlande;7468;435;;;
22-01-2020;Schweiz;0;0;CH;8211700;198
23-01-2020;Schweiz;0;0;CH;8211700;198
24-01-2020;Schweiz;0;0;CH;8211700;198
25-01-2020;Schweiz;0;0;CH;8211700;198
26-01-2020;Schweiz;0;0;CH;8211700;198
27-01-2020;Schweiz;0;0;CH;8211700;198
28-01-2020;Schweiz;0;0;CH;8211700;198
29-01-2020;Schweiz;0;0;CH;8211700;198
30-01-2020;Schweiz;0;0;CH;8211700;198
31-01-2020;Schweiz;0;0;CH;8211700;198
01-02-2020;Schweiz;0;0;CH;8211700;198
02-02-2020;Schweiz;0;0;CH;8211700;198
03-02-2020;Schweiz;0;0;CH;8211700;198
04-02-2020;Schweiz;0;0;CH;8211700;198
05-02-2020;Schweiz;0;0;CH;8211700;198
06-02-2020;Schweiz;0;0;CH;8211700;198
07-02-2020;Schweiz;0;0;CH;8211700;198
08-02-2020;Schweiz;0;0;CH;8211700;198
09-02-2020;Schweiz;0;0;CH;8211700;198
10-02-2020;Schweiz;0;0;CH;8211700;198
11-02-2020;Schweiz;0;0;CH;8211700;198
12-02-2020;Schweiz;0;0;CH;8211700;198
13-02-2020;Schweiz;0;0;CH;8211700;198
14-02-2020;Schweiz;0;0;CH;8211700;198
15-02-2020;Schweiz;0;0;CH;8211700;198
16-02-2020;Schweiz;0;0;CH;8211700;198
17-02-2020;Schweiz;0;0;CH;8211700;198
18-02-2020;Schweiz;0;0;CH;8211700;198
19-02-2020;Schweiz;0;0;CH;8211700;198
20-02-2020;Schweiz;0;0;CH;8211700;198
21-02-2020;Schweiz;0;0;CH;8211700;198
22-02-2020;Schweiz;0;0;CH;8211700;198
23-02-2020;Schweiz;0;0;CH;8211700;198
24-02-2020;Schweiz;0;0;CH;8211700;198
25-02-2020;Schweiz;1;0;CH;8211700;198
26-02-2020;Schweiz;1;0;CH;8211700;198
27-02-2020;Schweiz;8;0;CH;8211700;198
28-02-2020;Schweiz;8;0;CH;8211700;198
29-02-2020;Schweiz;18;0;CH;8211700;198
01-03-2020;Schweiz;27;0;CH;8211700;198
02-03-2020;Schweiz;42;0;CH;8211700;198
03-03-2020;Schweiz;56;0;CH;8211700;198
04-03-2020;Schweiz;90;0;CH;8211700;198
05-03-2020;Schweiz;114;1;CH;8211700;198
06-03-2020;Schweiz;214;1;CH;8211700;198
07-03-2020;Schweiz;268;1;CH;8211700;198
08-03-2020;Schweiz;337;2;CH;8211700;198
09-03-2020;Schweiz;374;2;CH;8211700;198
10-03-2020;Schweiz;491;3;CH;8211700;198
11-03-2020;Schweiz;652;4;CH;8211700;198
12-03-2020;Schweiz;652;4;CH;8211700;198
13-03-2020;Schweiz;1139;11;CH;8211700;198
14-03-2020;Schweiz;1359;13;CH;8211700;198
15-03-2020;Schweiz;2200;14;CH;8211700;198
16-03-2020;Schweiz;2200;14;CH;8211700;198
17-03-2020;Schweiz;2700;27;CH;8211700;198
18-03-2020;Schweiz;3028;28;CH;8211700;198
19-03-2020;Schweiz;4075;41;CH;8211700;198
20-03-2020;Schweiz;5294;54;CH;8211700;198
21-03-2020;Schweiz;6575;75;CH;8211700;198
22-03-2020;Schweiz;7474;98;CH;8211700;198
23-03-2020;Schweiz;8795;120;CH;8211700;198
24-03-2020;Schweiz;9877;122;CH;8211700;198
25-03-2020;Schweiz;10897;153;CH;8211700;198
26-03-2020;Schweiz;11811;191;CH;8211700;198
22-01-2020;Thailand;2;0;TH;65931550;128
23-01-2020;Thailand;3;0;TH;65931550;128
24-01-2020;Thailand;5;0;TH;65931550;128
25-01-2020;Thailand;7;0;TH;65931550;128
26-01-2020;Thailand;8;0;TH;65931550;128
