stateCode,reportDate,source,cases,deaths,population_number,population_density
DE-NW,2020-03-21,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),6740,24,17866000,524
DE-RP,2020-03-21,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1062,2,4053000,204
DE-SL,2020-03-21,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),217,0,996000,388
DE-SN,2020-03-21,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),650,1,4085000,221
DE-ST,2020-03-21,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),253,0,2245000,110
DE-SH,2020-03-21,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),383,1,2859000,181
DE-TH,2020-03-21,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),207,0,2171000,134
DE-BW,2020-03-22,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),3818,23,10880000,304
DE-BY,2020-03-22,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),4457,22,12844000,182
DE-BE,2020-03-22,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1071,1,3520000,3948
DE-BB,2020-03-22,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),353,1,2485000,84
DE-HB,2020-03-22,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),168,0,671000,1599
DE-HH,2020-03-22,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),887,1,1787000,2366
DE-HE,2020-03-22,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1267,3,6176000,293
DE-MV,2020-03-22,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),182,0,1612000,69
DE-NI,2020-03-22,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1586,4,7927000,167
DE-NW,2020-03-22,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),7361,32,17866000,524
DE-RP,2020-03-22,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1149,2,4053000,204
